,index,logBB,Ref
59,N1CCCCC1C(C(=O)OC)c2ccccc2,0.88,1
60,CC(C)NCC(O)COc(cc1)ccc1CCOC,1.15,1
61,C1CN(C)CC2N1c(cccc3)c3Cc(c24)cccc4,0.99000001,1
62,C1CN(C)CC2N1c(nccc3)c3Cc(c24)cccc4,0.52999997,1
63,Cc1ccnc(c12)N(C3CC3)c4c(C(=O)N2)cccn4,0.0,1
64,c1c(Cl)ccc(c12)NC(=O)C(O)N=C2c3ccccc3,0.60500001,1
65,Cn1cnc(c12)[nH]c(=O)n(C)c2=O,0.07,1
66,CC(C)=CCN(CC1)C(C2C)Cc(c3C12C)ccc(c3)O,0.524999995,1
67,CC(C)NCC(O)COc1cccc(c12)[nH]cc2,-0.14,1
68,O=C1NCNC(=O)C1(CC)c2ccccc2,-0.07,1
69,c1cc(N)ccc1C(=O)OCCN(CC)CC,0.050000001,1
70,CN(C)CCCN1c(cccc2)c2Sc(c13)cccc3,1.155,1
71,CC(C)c1c(O)c(C(C)C)ccc1,0.665,1
72,CC(C)NCC(O)COc1cccc(c12)cccc2,0.739999985,1
73,n1ccccc1N(CCN(C)C)Cc2ccc(cc2)OC,0.49000001,1
74,C1CCCn(c12)c(=O)c(c(n2)C)CCN(CC3)CCC3c4noc(c45)cc(F)cc5,-0.21,1
75,O=C1CC(CN1)c2cc(c(cc2)OC)OC3CCCC3,0.61000001,1
76,CCCN(CCC)CCc1cccc(c12)NC(=O)C2,0.164999999,1
77,FC(F)(F)C(C(F)(F)F)OCF,0.30000001,1
78,c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)NCN3c4ccccc4,0.25999999,1
79,CC(C)(C)c1ccc(cc1)C(O)CCCN(CC2)CCC2C(O)(c3ccccc3)c4ccccc4,0.63999999,1
80,CN1CCCCC1CCN2c(cccc3)c3Sc(c24)ccc(c4)SC,0.249999995,1
81,n1nc(C)n(c12)c3c(cc(Cl)cc3)C(=NC2)c4c(Cl)cccc4,0.62000001,1
82,FC(F)(F)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN4CCN(C)CC4,1.4299999,1
83,FC(F)(F)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN(C)C,1.4400001,1
84,c1ccccc1C(=O)OC(C2C(=O)OC)CC(N3C)CCC23,0.60000002,1
85,n1nnn(c12)CCCCC2,-0.029999999,1
86,C=CC(C12)CN(CC2)C(C1)C(O)c3ccnc(c34)ccc(c4)OC,-0.20999999,1
87,CNC(=O)Oc(c1)ccc(c1C23C)N(C)C2N(C)CC3,0.079999998,1
88,Cc1c(N(C)C)c(=O)n(n1C)-c2ccccc2,0.0,1
89,CCCCN(C1)CC2C1Cc(c23)cc(OC)c(c3)OC,0.31,1
90,CCCCCO,0.2,1
91,ClC(Cl)(Cl)C,0.319999995,1
92,C1CO1,0.01,1
93,CC(Br)C,0.56,1
94,CC(C)(C)O,0.11,1
95,CC(C)(C)CC,1.035,1
96,CC(C)(O)CC,0.07,1
97,c1ccccc1C2(CCCCC2)N3CCCCC3,0.50999999,1
98,CCCCC1(CC)C(=O)NC(=O)NC1=O,0.19,1
99,CC(=O)CC,-0.075,1
100,ClC(Cl)CCl,-0.1,1
101,ClC(Cl)=CCl,0.320000005,1
102,CC(=O)OC,-0.13,1
103,c1cc(O)ccc1C(C)(C)c2ccc(O)cc2,-0.12,1
104,CCCOC(=O)c1ccc(N)cc1,0.55000001,1
105,Cc1c(C)cccc1,0.399999995,1
106,Cc1c(C)ccc(C)c1,0.16,1
107,CC(C)(C)c1ccccc1,0.43000001,1
108,FC(F)(F)c1ccc(Cl)cc1,0.17,1
109,C=Cc1ccccc1,0.44999999,1
110,CCCBr,0.27000001,1
111,C=CC=C,-0.17,1
112,CC(C)CCC,0.97500001,1
113,CC(=O)CCC,-0.01,1
114,CC(=O)OC(C)C,0.40000001,1
115,Cc1cc(C)ccc1,0.25,1
116,CC1CCCCC1,0.95999998,1
117,CC(=O)OCCC,0.12,1
118,CC(=O)OCC(C)C,0.44999999,1
119,C=CCCCCCC,0.74000001,1
120,CCCCCCCCC,0.51999998,1
121,CC=C,-0.059999999,1
122,Cc1c(I)c(=O)n(n1C)-c2ccccc2,-0.1,1
123,OCC(C)CC,0.039999999,1
124,CC(=O)OCC,0.0,1
125,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,0.36000001,1
126,CCC#CC(C)C1(CC=C)C(=O)N(C)C(=O)NC1=O,-0.065,1
127,C1CN(C)Cc2ccc(OC)c(c2C134)OC3CC(O)C=C4,0.31999999,1
128,FC(F)=CCl,-0.02,1
129,CC1C(C)CCCC1,1.0700001,1
130,CC(C)CCCC,0.86000001,1
131,CC(C)CCCCC,0.86000001,1
132,CC(=O)OCCCCC,0.40000001,1
133,ClC(Cl)(Cl)CCl,0.33000001,1
134,CC(C)(C)OCC,0.22,1
135,CCCC(=O)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN4CCN(C)CC4,0.82999998,1
136,C1=CCN(CC2)C3C1(CC)C(OC(=O)C)C(O)(C(=O)OC)C4N(C)c(c5C234)cc(OC)c(c5)C(C(=O)OC)(c(c6c78)[nH]c7cccc8)CC9CC(O)(CC)CN(C9)CC6,-0.07,1
137,CC(C)CCCCCCC,1.05,1
138,C=CCCCCCCCC,0.95999998,1
139,CC(C)(C)OC,0.36000001,1
140,CCCCCCCCCC,0.67000002,1
141,FS(F)(F)(F)(F)F,0.365,1
142,CC(C)NCC(O)COc(cc1C)ccc1,0.31,1
143,CC(C)(C)C1CCCCC1,0.61000001,1
144,CC(C)CCCCCC,0.98000002,1
145,c1cccc(C2C(=O)N)c1C=Cc(c23)cccc3,0.0,1
146,CNCCCN1c(cccc2)c2Sc(c13)cccc3,0.58999997,1
147,CC(=O)OCCCC,0.28,1
148,CC(=O)OCCC(C)C,0.55000001,1
149,C=CCCCCCCC,0.86000001,1
150,FC(F)(F)C(F)Br,0.27000001,1
151,ClC(Cl)=C(Cl)Cl,0.37,1
152,c12c3c4ccc1cccc2ccc3ccc4,0.23,1
153,CN1CCCCC1CCN2c(cccc3)c3Sc(c24)ccc(c4)S(=O)(=O)C,0.18000001,1
154,FC(F)(F)C(F)OC(F)F,0.11,1
155,CSCC(C1)CN(CCC)C(C2)C1c3cccc4[nH]cc2c34,0.30000001,1
156,COC(C)(C)CC,0.17,1
157,CNCCCN1c(cccc2)c2Sc(c13)ccc(Cl)c3,1.375,1
158,NC(=O)CC(O)(CC)c1ccccc1,0.039999999,1
159,CCc(cc1)ccc1C(=O)C(C)CN2CCCC2,1.08,1
160,CCCCCC1(CC)C(=O)NC(=O)NC1=O,0.090000004,1
161,C1CCNc(c12)cccc2,0.66000001,1
162,NCCCN1c(cccc2)c2Sc(c13)ccc(Cl)c3,0.97000003,1
163,C=COCCCCOC=C,0.12,1
164,CC(C)(C)OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,1.0,1
165,c1c(Cl)ccc(c12)NC(=O)CC(=O)N2c3ccccc3,0.354999995,1
166,N1CCNC1=Nc2c(Cl)cc(Cl)cc2,0.16,1
167,CC1C(C)CCC(C)C1,1.02,1
168,c1cccc(c12)sc(n2)NCCCOc(ccc3)cc3CN4CCCCC4,0.14,1
169,FCC(O)Cn1ccnc1[N+]([O-])=O,-0.01,1
170,Cc1cc(=O)n(n1C)-c2ccc(F)cc2,-0.050000001,1
171,CCC1(C)C(=O)NC(=O)NC1=O,-0.22,1
172,c1nc(CO)n(c12)c3c(cc(Cl)cc3)C(=NC2)c4c(F)cccc4,-0.079999998,1
173,C1NCCCC1CCN2c(cccc3)c3Sc(c24)ccc(c4)SC,0.754999995,1
174,c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)N(C)CN3c4ccccc4,0.46000001,1
175,CNCCCN(c(c12)ccc(c1)O)c3c(CC2)cccc3,0.52999997,1
176,CCOC(=O)c1ncn(c12)c3c(cc(F)cc3)C(=O)N(C2)CCF,-0.14,1
177,c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)NCN3c4ccc(Br)cc4,0.07,1
178,c1cccc(c12)N(CCCN)c3c(CC2)cccc3,1.055,1
179,Cc1cccc(C2CN(C)CC3)c1Oc(c4C23O)cccc4,0.81999999,1
180,c1ccccc1C(CO)C(=O)OC(C2)CC(N3C)CCC23,-0.059999999,1
181,c1ccccc1NC(=O)Oc(c2)ccc(c2C34C)N(C)C3N(C)CC4,1.0,1
182,C1CCCNc(c12)cc(cc2)C(=O)CCC3CCN(CC3)Cc4ccccc4,1.14,1
183,CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,0.02,1
184,CCCC1(CC)C(=O)NC(=O)NC1=O,0.090000004,1
185,C#CC1(O)CCC(C12C)C3C(CC2)C4=C(CC3C)CC(=O)CC4,0.40000001,1
186,Cc1c(F)c(=O)n(n1C)-c2ccccc2,-0.050000001,1
187,c1ccccc1C(CC)=C(c2ccccc2)c3ccc(cc3)OCCN(C)C,0.92000002,1
188,N=C(N)Nc(n1)scc1C,-0.039999999,1
189,C1CCCCC1NC(=S)N(CC2)CCC2c3c[nH]cn3,-0.165,1
190,N=C(N)Nc(n1)scc1-c2ccccc2,-0.18000001,1
191,c1ccccc1C(CC)NC(=O)c2c(C)c(-c3ccccc3)nc(c24)cccc4,0.30000001,1
192,c1cc(O)cc(c12)occ(c2=O)-c3ccc(O)cc3,-0.15000001,1
193,O1C2C(O)C=CC3C(N(C)CC4)Cc5ccc(c1c5C234)OC,0.499999995,1
194,c1cc(C(F)(F)F)ccc1C(=NOCCN)CCCCOC,0.79000002,1
195,C1CCCC2C(N(C)CC3)Cc(c4C123)ccc(c4)O,0.0,1
196,CC(C)c1cc(c(cc1)OC)CNC(C23)C(N(CC2)CC3)C(c4ccccc4)c5ccccc5,0.47999999,1
197,FC(F)(F)c1c(Cl)nc(cc1)N2CCNCC2,1.64,1
198,c1cc(Br)c(=O)n(c12)CC3CC2CNC3,-0.050000001,1
199,C1CN(C)CCC1n(n2)c(=O)ccc2-c3c(-c4ccccc4)nn(c35)cccc5,0.059999999,1
200,C=CCC(N)c1c(cccc1)-c2noc(c23)cccc3,0.0,1
201,FC(F)(F)Oc(c1)ccc(OC)c1CNC(CCCN2)C2c3ccccc3,0.63,1
202,FC(F)(F)Oc(c1)ccc(OC(C)C)c1CNC(CCCN2)C2c3ccccc3,0.41,1
203,CC(C)c1cc(c(cc1)OC)CNC(CCCN2)C2c3ccccc3,0.92000002,1
204,CN(C1)CC(C12)c3c(cccc3)Oc4c2cc(Cl)cc4,1.03,1
205,FC(F)(F)c1cc(ncc1)N(CC2)CCN2CCCCN3CCCC3=O,0.16,1
206,c1ccccc1C2C(CCCN2)NCc3c(OC)ccc(c3)-c4nccs4,0.36000001,1
207,CC(C)(C)c1cc(c(cc1)OC(F)(F)F)CNC(CCCN2)C2c3ccccc3,0.95999998,1
208,CC(C)(C)c(n1)nc(cc1C(F)(F)F)N(CC2)CCN2CCCSc([nH]3)nccc3=O,0.30000001,1
209,c1ccccc1C(c2ccccc2)C(N(CC3)CC4)C(C34)NCc5c(OC)cccc5,0.37,1
210,n1ccccc1NCCCOc(ccc2)cc2CN3CCCCC3,0.69,1
211,COC(=O)C1C(C)CC(=CC1=O)Nc2cc(OC(F)(F)F)ccc2,-0.17,1
212,FC(F)(F)Oc(c1)ccc(OC(F)F)c1CNC(CCCN2)C2c3ccccc3,0.88,1
213,N1CCNC1=Nc2c(Br)cccc2Br,0.33000001,1
214,FCCCCCCCCn1ccnc1[N+]([O-])=O,-0.17,1
215,c1ccc(OC)cc1CC2CCN(CC2)C(CC3)CCC3(OC)c(c4)ccc(c45)OCO5,0.74000001,1
216,OCCCOc(ccc1)cc1CN2CCCCC2,-0.02,1
217,c1cc(O)cc(c12)sc(n2)-c3cc(I)c(N)cc3,0.18000001,1
218,N1CCNC1=Nc2c(Cl)cc(Cl)cc2Cl,0.47,1
219,C1CCCCN1CCn(n2)c(=O)ccc2-c3c(-c4ccccc4)nn(c35)cccc5,0.38,1
220,CCC(C)CCC,0.89999998,1
221,N1CCNC1=Nc2c(Cl)ccc(Cl)c2,0.38,1
222,N1CCNC1=Nc2c(F)cccc2F,-0.2,1
223,N1CCNC1=Nc2c(Cl)cc(Br)cc2Cl,0.41,1
224,N1CCNC1=Nc2c(Br)cc(Br)cc2Br,0.57999998,1
225,C1CCCCN1Cc2c(I)ccc(c2)CN3CCCCC3,0.98000002,1
226,N1CC=NC1Nc2c(Cl)cccc2Cl,0.11,1
227,c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)N(CCC)CN3c4ccc(Br)cc4,-0.01,1
228,CCCCCCN1CCN(CC1)c2ccc(I)cc2,1.01,1
229,CCCCCCCCC1(CC)C(=O)NC(=O)NC1=O,0.23999999,1
230,n1ccccc1CSCCNc([nH]c2)c([N+]([O-])=O)c2Cc3ccccc3,-0.12,1
231,s1ccnc1NCCCOc(ccc2)cc2CN3CCCCC3,0.44,1
232,c1cccc(c12)oc(n2)NCCCOc(ccc3)cc3CN4CCCCC4,0.22,1
233,Clc1cccc(c12)NC(=O)CN=C2c3ccccc3,0.5,1
234,CC(C)(C)c1cc(c(cc1)OC)CNC(C23)C(N(CC2)CC3)C(c4ccccc4)c5ccccc5,0.46000001,1
235,FC(F)(F)CC(Cl)Br,0.34999999,1
236,c1cccc(OC)c1CNC(CCCN2)C2c3ccccc3,0.87,1
237,CCc1cc(ccc1)NC(C)=Nc(ccc2)cc2CC,1.2,1
238,CS(=O)(=O)c(c1)ccc(OC)c1CNC(CCCN2)C2c3ccccc3,-0.15000001,1
239,FC(F)(F)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN(CC4)CCC4C,1.4400001,1
240,Cc1cccc(C2CNCC3)c1Oc(c4C23O)cccc4,0.51999998,1
241,Cc(n1)sc(c12)cc(OC)c(c2)CNC(CCCN3)C3c4ccccc4,0.47999999,1
242,c1ccccc1C2C(CCCN2)NCc3c(OC)ccc(c3)N4CCCC4=O,-0.22,1
243,c1ccccc1C2C(CCCN2)NCc(c3)c(OC)cc(c34)sc(n4)-c5ccccc5,1.26,1
244,c1ccccc1C2C(CCCN2)NCc3c(OC)ccc(c3)-n(n4)c(C)cc4C,0.11,1
245,Cc(n1)oc(c12)cc(OC)c(c2)CNC(CCCN3)C3c4ccccc4,0.49000001,1
246,c1ccccc1C2C(CCCN2)NCc(c3)c(OC)cc(c34)sc(n4)C5CC5,0.62,1
247,CC(C)(C)c(n1)sc(c12)cc(OC)c(c2)CNC(CCCN3)C3c4ccccc4,0.85000002,1
248,FC(F)(F)CC(F)Br,0.27000001,1
249,FCOCC(O)Cn1ccnc1[N+]([O-])=O,-0.01,1
250,Cc(c1)sc(c12)Nc3c(cccc3)N=C2N(CC4)CCN4C,0.77999997,1
251,COc(c1)cc(c(c12)OCC2)CNC(CCCN3)C3c4ccccc4,0.38999999,1
252,NCCn(nc1)c(c12)cc(Cl)c(Cl)c2,0.11,1
253,CCCN(CCC)CCc(c1)ccc(c12)NC(=O)C2,0.25,1
254,CC(C)(C)c1cc(c(cc1)OC)CNC(CCCN2)C2c3ccccc3,0.98000002,1
255,C1NCC(C12)c3c(cccc3)Oc4c2cc(Cl)cc4,0.38999999,1
256,c1ccc(=O)n(c12)CC3CC2C(Br)NC3,-0.050000001,1
257,CN1CCN(CC1)C2=Nc(cc(Cl)cc3)c3Nc(c24)cccc4,1.0,1
258,F\C=C\O/C=C/F,0.13,1
259,CCC(C)N1CCN(CC1)c2ccc(I)cc2,1.38,1
260,FC(F)(F)c1cccc(c12)Sc3c(cccc3)N2CCCN4CCN(C)CC4,1.4400001,1
261,CCC(C)Nc1c(I)ccc(c1)NC(C)CC,0.63999999,1
262,Cc(n1)sc(c12)cc(OC(C)C)c(c2)CNC(CCCN3)C3c4ccccc4,0.31999999,1
263,FCCc1cc(N)c(cc1)Sc(c2N(C)C)cccc2,0.55000001,1
264,CC(F)OC(=O)c1ncn(c12)c3c(C(=O)N(C)C2)cc(F)cc3,-0.095000002,1
265,C1[C@H](N)[C@H]1c2ccc(F)cc2,0.81,1
266,CCCN1CCOC2C1CCc(c23)ccc(c3)O,0.26,1
267,COc1c(OC)ccc(c12)C[C@H]3c4c(CCN3C2)cc(OC)c(c4)OC,-0.07,1
268,CCCCCc(cc1O)cc(c12)OC(C)(C)[C@H]3[C@H]2C=C(C)CC3,0.0,1
269,c1cc(F)ccc1Cn(c(c23)cccc2)c(n3)[C@H]4CNCCS4,0.89,1
270,CCCCNC(=S)Nc1ccccc1,0.03,1
271,C1NC(C)(O)N(C=12)c3c(cc(Cl)cc3)C(=NC2)c4c(F)cccc4,-0.07,1
272,CC(C)CN1CCN(CC1)c2ccc(I)cc2,1.38,1
273,CN(C)Cc1c(cccc1)Sc(c2N)ccc(F)c2,0.2,1
274,c1cccn(c12)ncc2CN3CCN(CC3)c4ccc(Cl)cc4,0.64,1
275,CC(C)CCO,0.04,1
276,FC(F)(F)CCC(Cl)Br,0.35,1
277,c1cc(F)ccc1Cn(c(c23)cccc2)c(n3)[C@@H]4CCCNC4,0.39,1
278,c1nc(C)n(c12)c3c(cc(Cl)cc3)C(=N[C@@H]2O)c4c(F)cccc4,-0.03,1
279,FC(F)CNC(NC1C)=Nc(c12)cccc2Cl,0.6,1
280,c1cc(C)ccc1Cn(c(c23)cccc2)c(n3)[C@H]4CNCCO4,0.36,1
281,c1cc(F)ccc1Cn(c(c23)cccc2)c(n3)[C@H]4CNCCO4,0.77,1
282,OC[C@H]1C=C[C@@H](C1)n(cn2)c(c23)nc(N)nc3NC4CC4,-0.22,1
283,C=CC[C@@]1(CC=C)C(=O)NC(=O)NC1=O,-0.22,1
284,N1CCCN=C1NCCCNCC(CC2)Oc(c23)cccc3,-0.01,1
285,c1c(Cl)ccc(c12)Oc3c(cccc3)N=C2N4CCNCC4,0.6,1
286,COc(cc1)ccc1CCN(CC2)CCC2Nc(n3)n(c(c34)cccc4)Cc5ccc(F)cc5,1.1,1
287,NC(N)=Nc(n1)scc1-c2ccccc2,-0.18,1
288,CC(C)(C)c1cnc(o1)CSc2cnc(s2)NC(=O)C3CCNCC3,-0.01,1
289,CCC12c3c(ccc(c3)O)CC(C1(C)C)N(CC2)CC4(O)CC4,0.6,1
290,CC(C)(C)OC(=O)c1ncn(c12)c3c(c(Br)ccc3)C(=O)N4[C@H]2CCC4,-0.09,1
291,c1ccccc1C2(CCN(C(C)(C)C)CC2)c3ccccc3,0.66,1
292,S=C=S,0.6,1
293,c1cc(C#N)cc(c12)COC2(CCCN(C)C)c3ccc(F)cc3,0.99,1
294,N1CCN=C1Nc2c(Cl)cccc2Cl,0.11,1
295,CN(C)c1ccnc2sc(c3c12)c(=O)n(cn3)N4CCCCCC4,0.43,1
296,OCC(=O)[C@@]1(O)CC[C@H]([C@@]12C)[C@@H]3[C@H]([C@H](C2)O)[C@]4(C)C(CC3)=CC(=O)CC4,-0.22,1
297,c1cccc(c2=O)c1[n+](C)c3n2CCC4C3Nc(c45)cccc5,0.11,1
298,C1CCC[C@@H]2[C@H]([N@](C)CC3)Cc(c4[C@@]123)ccc(c4)OC,0.22,1
299,O1[C@H]2[C@@H](O)CC[C@H]3[C@H](N(C)CC4)Cc5ccc(c1c5[C@@]234)OC,0.55,1
300,COC(=O)[C@H]1[C@@H](C)CC(=CC1=O)Nc2ccc(Cl)cc2,0.0,1
301,CN(C)CC/C=C\1c(cccc2)c2OCc(c13)cccc3,1.0,1
302,n1ccccc1[C@@](C)(OCCN(C)C)c2ccccc2,0.64,1
303,C1N=C(N)N2c(cccc3)c3Cc(c4C12)cccc4,-0.16,1
304,CCNC(=O)C(C(=O)N)c1ccccc1,-0.19,1
305,n1cncn1CC(O)(Cn2cncn2)c3c(F)cc(F)cc3,-0.22,1
306,FCOCC(O)Cn1ccnc1N(=O)=O,-0.01,1
307,O=C(O)CC1(CN)CCCCC1,-0.19,1
308,C1C(O)CC(O2)C3C=1CN(C)Cc4ccc(c2c34)OC,0.2,1
309,N#Cc1ccc(cc1)OCC2CCN(CC2)C/C=C/I,1.13,1
310,NC(N)=Nc(s1)ncc1C,-0.04,1
311,C1CCCN1CCn(nc2)c(c23)cc(cc3)NC(=O)Cc4ccc(cc4)OCc5ccccc5,-0.2,1
312,CN(C)Cc1ccc(cc1)-c2c[nH]c(=O)c(c23)cccc3O,-0.09,1
313,CS(=O)(=O)CCNCc1ccc(o1)-c(c2)ccc(c23)ncnc3Nc(cc4)cc(Cl)c4OCc5cc(F)ccc5,-0.03,1
314,CC[C@@H](C(=O)N)N1CCCC1=O,-0.04,1
315,n1cncn1\C=C(Cl)\c2c(Cl)cc(Cl)cc2,0.28,1
316,CN1CCN(CC1)C2=Nc(cccc3)c3Oc(c24)ccc(Cl)c4,0.8,1
317,CNCCCC12c3c(cccc3)C(CC2)c4c1cccc4,1.3,1
318,c1cc(F)ccc1CCN(CC2=O)CCN2C(CC3)Cc(c34)ccc(c4)CN(CC)CC,0.48,1
319,O1COc(c12)ccc(c2)CN(CC3)CCC3Nc4n[nH]c(c45)ccc(Cl)c5,0.83,1
320,c1ccccc1\C=C\CN(CC2)CCC2Nc3cc(=O)oc(c34)ccc(Cl)c4,0.13,1
321,CCc1ccc(cc1)-c(cc2)ccc2C(=O)N(C)C3CCN(C3)C(=O)N(C4)CCC4N5CCCCC5,0.81,1
322,O1COc(c12)ccc(c2)CN(CC3)CCC3Nc4n[nH]c(c45)ccc(c5)OC,0.57,1
323,C1CCCN1CCOc(c2OC)ccc(c2)-n(cn3)c(=O)c(c34)sc(c4)-c5ccc(Cl)cc5,0.78,1
324,C1COc(c12)ccc(c2)CN(CC3)CCC3Nc4cc(=O)oc(c45)ccc(Cl)c5,-0.14,1
325,C1CN(C)CCC1(C(=O)OCC)c2ccccc2,0.85,1
326,NC(=O)OCC(C)(CCC)COC(=O)N,-0.15,1
327,c1ccccc1C(C(=O)CC)(CC(C)N(C)C)c2ccccc2,0.9,1
328,C,0.04,1
329,c1c(Cl)c(N)cc(OC)c1C(=O)NCCN(CC)CC,0.9,1
330,c1cc(F)ccc1C(=O)N(c2ccccn2)CCN3CCN(CC3)c4c(OC)cccc4,0.09,1
331,O=C(O)[C@@H](C)c(c1)ccc(c12)cc(cc2)OC,0.1,1
332,c1c(F)ccc(c12)OC(CC2)C(O)CNCC(O)C(CC3)Oc(c34)ccc(F)c4,0.57,1
333,c1cncc(c1c23)[nH]c2cccc3,0.48,1
334,N1CCC[C@H]1[c@@]2cccnc2,0.32,1
335,OCCN(CC1)CCN1CCCN2c(cccc3)c3Sc(c24)ccc(Cl)c4,0.7,1
336,O=C1NC(=O)NC(=O)C1(CC)c2ccccc2,-0.12,1
337,CC(C)(C)/[N+]([O-])=C\c1ccccc1,0.05,1
338,O\N=C\c1cccc[n+]1C,-0.17,1
339,OCC(=O)[C@@]1(O)CC[C@H]([C@@]12C)[C@H]3[C@H](C(C2)O)[C@]4(C)C(CC3)=CC(=O)C=C4,-0.18,1
340,CC(=O)[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)C(CC3)=CC(=O)CC4,-0.1,1
341,CN[C@H](C)CC1CCCCC1,1.08,1
